,IsBuggy,ProjectName,ProjectVersion,Priority,StartLine,EndLine,LC,PI,MA,NBD,ML,D,MI,FO,R,E,SourceCode,LC_R,PI_R,MA_R,NBD_R,ML_R,D_R,FO_R,R_R,E_R,average_sum,average_sum_raw
0,True,commons-math,remotes/origin/bugs-dot-jar_MATH-705_645d642b,Major,127,134,5.0,1.96,1.0,0.0,0.0,0.0,121.82,1.0,0.0,0.0,"/**
 * Reinitialize the instance
 * <p>Some Runge-Kutta integrators need fewer functions evaluations
 * than their counterpart step interpolators. So the interpolator
 * should perform the last evaluations they need by themselves. The
 * {@link RungeKuttaIntegrator RungeKuttaIntegrator} and {@link
 * EmbeddedRungeKuttaIntegrator EmbeddedRungeKuttaIntegrator}
 * abstract classes call this method in order to let the step
 * interpolator perform the evaluations it needs. These evaluations
 * will be performed during the call to <code>doFinalize</code> if
 * any, i.e. only if the step handler either calls the {@link
 * AbstractStepInterpolator#finalizeStep finalizeStep} method or the
 * {@link AbstractStepInterpolator#getInterpolatedState
 * getInterpolatedState} method (for an interpolator which needs a
 * finalization) or if it clones the step interpolator.</p>
 * @param rkIntegrator integrator being used
 * @param y reference to the integrator array holding the state at
 * the end of the step
 * @param yDotArray reference to the integrator array holding all the
 * intermediate slopes
 * @param forward integration direction indicator
 * @param primaryMapper equations mapper for the primary equations set
 * @param secondaryMappers equations mappers for the secondary equations sets
 */
public void reinitialize(final AbstractIntegrator rkIntegrator, final double[] y, final double[][] yDotArray, final boolean forward, final EquationsMapper primaryMapper, final EquationsMapper[] secondaryMappers) {
    reinitialize(y, forward, primaryMapper, secondaryMappers);
    this.yDotK = yDotArray;
    this.integrator = rkIntegrator;
}",-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.5384615384615384,,-0.2301621211999065,-4.766878634660606,8.96
1,True,wicket,remotes/origin/bugs-dot-jar_WICKET-4927_8c827e33,Major,177,182,5.0,1.96,1.0,0.0,0.0,0.0,128.95,2.0,0.67,0.0,"@Override
public void write(byte[] array) {
    writeBuffered();
    originalResponse.write(array);
}",-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.46153846153846156,,-0.2301621211999065,-4.689955557737529,9.96
2,True,accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2494_0dc92ca1,Major,60,64,5.0,1.96,1.0,0.0,0.0,0.0,126.86,0.0,0.92,0.0,"public void clear() {
    sum = 0;
    count = 0;
    partialStdDev = 0;
}",-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.6153846153846154,,-0.2301621211999065,-4.8438017115836836,7.96
3,True,camel,remotes/origin/bugs-dot-jar_CAMEL-7213_336663c9,Major,127,132,6.0,2.0,1.0,0.0,0.0,0.0,120.87,2.0,0.47,0.0,"@Converter
public static ByteBuffer toByteBuffer(Float value) {
    ByteBuffer buf = ByteBuffer.allocate(4);
    buf.putFloat(value);
    return buf;
}",-0.5238095238095238,-0.7848837209302327,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.46153846153846156,,-0.2301621211999065,-4.619080696164993,11.0
4,True,commons-math,remotes/origin/bugs-dot-jar_MATH-373_bfe4623c,Major,99,103,5.0,1.96,1.0,0.0,0.0,0.0,126.72,0.0,1.0,0.0,"/**
 * {@inheritDoc}
 */
@Override
public void clear() {
    value = Double.NaN;
    n = 0;
}",-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.6153846153846154,,-0.2301621211999065,-4.8438017115836836,7.96
5,True,jackrabbit-oak,remotes/origin/bugs-dot-jar_OAK-1822_3e83a4c1,Major,159,164,6.0,1.89,1.0,0.0,0.0,0.0,117.59,1.0,0.63,0.0,"/**
 * Set the property to the given value.
 *
 * @param property the property name
 * @param value the value
 */
void set(String property, Object value) {
    Operation op = new Operation();
    op.type = Operation.Type.SET;
    op.value = value;
    changes.put(new Key(property, null), op);
}",-0.5238095238095238,-0.8488372093023259,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.5384615384615384,,-0.2301621211999065,-4.759957261460164,9.89
6,True,jackrabbit-oak,remotes/origin/bugs-dot-jar_OAK-1822_016df669,Major,147,151,5.0,1.96,1.0,0.0,0.0,0.0,120.64,2.0,0.88,0.0,"/**
 * Remove a map entry.
 * The property is a map of revisions / values.
 *
 * @param property the property
 * @param revision the revision
 */
public void removeMapEntry(@Nonnull String property, @Nonnull Revision revision) {
    Operation op = new Operation();
    op.type = Operation.Type.REMOVE_MAP_ENTRY;
    changes.put(new Key(property, checkNotNull(revision)), op);
}",-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.46153846153846156,,-0.2301621211999065,-4.689955557737529,9.96
7,True,accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-4138_4d23d784,Major,119,123,5.0,1.96,1.0,0.0,0.0,0.0,124.37,1.0,0.12,0.0,"public static Option startRowOpt() {
    final Option o = new Option(START_ROW_OPT, ""begin-row"", true, ""begin row (NOT) inclusive"");
    o.setArgName(""begin-row"");
    return o;
}",-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.5384615384615384,,-0.2301621211999065,-4.766878634660606,8.96
8,True,jackrabbit-oak,remotes/origin/bugs-dot-jar_OAK-596_9b268da0,Major,147,152,6.0,2.0,1.0,0.0,0.0,0.0,123.04,2.0,0.31,0.0,"@Override
public MongoNode copy() {
    MongoNode copy = new MongoNode();
    copy.putAll((Map) super.copy());
    return copy;
}",-0.5238095238095238,-0.7848837209302327,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.46153846153846156,,-0.2301621211999065,-4.619080696164993,11.0
9,True,wicket,remotes/origin/bugs-dot-jar_WICKET-5441_8ccb1f6d,Major,196,201,5.0,1.96,1.0,0.0,0.0,0.0,123.81,2.0,0.87,0.0,"/**
 *  set resource caching to maximum and set cache-visibility to 'public'
 *
 *  @param response
 */
@Override
public void decorateResponse(AbstractResource.ResourceResponse response, IStaticCacheableResource resource) {
    response.setCacheDurationToMaximum();
    response.setCacheScope(WebResponse.CacheScope.PUBLIC);
}",-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.46153846153846156,,-0.2301621211999065,-4.689955557737529,9.96
