,IsBuggy,ProjectName,ProjectVersion,Priority,StartLine,EndLine,LC,PI,MA,NBD,ML,D,MI,FO,R,E,SourceCode,LC_R,PI_R,MA_R,NBD_R,ML_R,D_R,FO_R,R_R,E_R,average_sum,average_sum_raw
0,True,Cli,33,High,726,732,5.0,1.96,1.0,0.0,0.0,0.0,121.31,4.0,0.17,0.0,"/**
 * Print the specified text to the specified PrintWriter.
 *
 * @param pw The printWriter to write the help to
 * @param width The number of characters to display per line
 * @param nextLineTabStop The position on the next line for the first tab.
 * @param text The text to be written to the PrintWriter
 */
public void printWrapped(PrintWriter pw, int width, int nextLineTabStop, String text) {
    StringBuffer sb = new StringBuffer(text.length());
    renderWrappedText(sb, width, nextLineTabStop, text);
    pw.println(sb.toString());
}",-0.6875,-0.7457180500658762,-0.625,-0.6666666666666666,-0.6666666666666666,-0.6776416539050536,-0.35714285714285715,,-0.31878706692616415,-4.745122961373284,11.96
1,True,Cli,1,High,89,101,8.0,2.4,3.0,1.0,5.0,1.69,111.24,5.0,0.44,222.22,"/**
 * Return the <code>Object</code> type of this <code>Option</code>.
 *
 * @param opt the name of the option
 * @return the type of this <code>Option</code>
 */
public Object getOptionObject(String opt) {
    String res = getOptionValue(opt);
    if (!options.containsKey(opt)) {
        return null;
    }
    Object type = ((Option) options.get(opt)).getType();
    return (res == null) ? null : TypeHandler.createValue(res, type);
}",-0.5625,-0.5138339920948617,-0.375,-0.3333333333333333,-0.3333333333333333,-0.41883614088820825,-0.2857142857142857,,-0.27123440688103384,-3.093785492245056,248.31
2,True,Lang,13,High,262,270,9.0,2.95,2.0,1.0,0.0,0.0,110.29,5.0,0.0,0.0,"/**
 * Overriden version that uses the parametrized <code>ClassLoader</code> or the <code>ClassLoader</code>
 * of the current <code>Thread</code> to resolve the class.
 * @param desc An instance of class <code>ObjectStreamClass</code>.
 * @return A <code>Class</code> object corresponding to <code>desc</code>.
 * @throws IOException Any of the usual Input/Output exceptions.
 * @throws ClassNotFoundException If class of a serialized object cannot be found.
 */
@Override
protected Class<?> resolveClass(ObjectStreamClass desc) throws IOException, ClassNotFoundException {
    String name = desc.getName();
    try {
        return Class.forName(name, false, classLoader);
    } catch (ClassNotFoundException ex) {
        return Class.forName(name, false, Thread.currentThread().getContextClassLoader());
    }
}",-0.5208333333333334,-0.22397891963109345,-0.5,-0.3333333333333333,-0.6666666666666666,-0.6776416539050536,-0.2857142857142857,,-0.31878706692616415,-3.52695525950993,19.95
3,True,Csv,6,High,179,185,7.0,3.02,2.0,1.0,0.0,0.0,114.45,5.0,0.31,0.0,"/**
 * Puts all values of this record into the given Map.
 *
 * @param map The Map to populate.
 * @return the given map.
 */
<M extends Map<String, String>> M putIn(final M map) {
    for (final Entry<String, Integer> entry : mapping.entrySet()) {
        final int col = entry.getValue().intValue();
        map.put(entry.getKey(), values[col]);
    }
    return map;
}",-0.6041666666666666,-0.18708827404479578,-0.5,-0.3333333333333333,-0.6666666666666666,-0.6776416539050536,-0.2857142857142857,,-0.31878706692616415,-3.5733979472569657,18.02
4,True,Lang,46,Critical,154,167,13.0,2.89,3.0,1.0,2.0,1.86,103.93,4.0,0.22,220.14,"/**
 * <p>Worker method for the {@link #escapeJavaScript(String)} method.</p>
 *
 * @param str String to escape values in, may be null
 * @param escapeSingleQuotes escapes single quotes if <code>true</code>
 * @param escapeForwardSlash TODO
 * @return the escaped string
 */
private static String escapeJavaStyleString(String str, boolean escapeSingleQuotes) {
    if (str == null) {
        return null;
    }
    try {
        StringWriter writer = new StringWriter(str.length() * 2);
        escapeJavaStyleString(writer, str, escapeSingleQuotes);
        return writer.toString();
    } catch (IOException ioe) {
        // this should never ever happen while writing to a StringWriter
        ioe.printStackTrace();
        return null;
    }
}",-0.3541666666666667,-0.2555994729907773,-0.375,-0.3333333333333333,-0.5333333333333333,-0.39280245022970894,-0.35714285714285715,,-0.27167950423002973,-2.8730576179267064,247.89
5,True,Lang,7,High,713,726,9.0,2.67,4.0,1.0,4.0,0.0,113.61,1.0,0.01,0.0,"/**
 * <p>Convert a <code>String</code> to a <code>BigDecimal</code>.</p>
 *
 * <p>Returns <code>null</code> if the string is <code>null</code>.</p>
 *
 * @param str  a <code>String</code> to convert, may be null
 * @return converted <code>BigDecimal</code> (or null if the input is null)
 * @throws NumberFormatException if the value cannot be converted
 */
public static BigDecimal createBigDecimal(String str) {
    if (str == null) {
        return null;
    }
    // handle JDK1.3.1 bug where """" throws IndexOutOfBoundsException
    if (StringUtils.isBlank(str)) {
        throw new NumberFormatException(""A blank string is not a valid number"");
    }
    // a wrong value.
    return new BigDecimal(str);
}",-0.5208333333333334,-0.3715415019762846,-0.25,-0.3333333333333333,-0.4,-0.6776416539050536,-0.5714285714285714,,-0.31878706692616415,-3.4435654609027404,21.67
6,True,Lang,40,High,1044,1049,6.0,2.75,2.0,1.0,4.0,1.78,119.75,3.0,0.03,116.85,"/**
 * <p>Checks if String contains a search String irrespective of case,
 * handling <code>null</code>. Case-insensitivity is defined as by
 * {@link String#equalsIgnoreCase(String)}.
 *
 * <p>A <code>null</code> String will return <code>false</code>.</p>
 *
 * <pre>
 * StringUtils.contains(null, *) = false
 * StringUtils.contains(*, null) = false
 * StringUtils.contains("""", """") = true
 * StringUtils.contains(""abc"", """") = true
 * StringUtils.contains(""abc"", ""a"") = true
 * StringUtils.contains(""abc"", ""z"") = false
 * StringUtils.contains(""abc"", ""A"") = true
 * StringUtils.contains(""abc"", ""Z"") = false
 * </pre>
 *
 * @param str  the String to check, may be null
 * @param searchStr  the String to find, may be null
 * @return true if the String contains the search String irrespective of
 * case or false if not or <code>null</code> string input
 */
public static boolean containsIgnoreCase(String str, String searchStr) {
    if (str == null || searchStr == null) {
        return false;
    }
    return contains(str.toUpperCase(), searchStr.toUpperCase());
}",-0.6458333333333334,-0.32938076416337286,-0.5,-0.3333333333333333,-0.4,-0.40505359877488506,-0.42857142857142855,,-0.2937824394116584,-3.3359548975880116,137.38
7,True,Math,49,High,379,389,11.0,2.67,2.0,1.0,2.0,1.76,105.99,8.0,0.08,247.38,"/**
 * {@inheritDoc}
 */
@Override
public OpenMapRealVector ebeMultiply(double[] v) {
    checkVectorDimensions(v.length);
    OpenMapRealVector res = new OpenMapRealVector(this);
    Iterator iter = res.entries.iterator();
    while (iter.hasNext()) {
        iter.advance();
        res.setEntry(iter.key(), iter.value() * v[iter.key()]);
    }
    return res;
}",-0.4375,-0.3715415019762846,-0.5,-0.3333333333333333,-0.5333333333333333,-0.40811638591117916,-0.07142857142857142,,-0.26585044087106413,-2.921103566853766,275.81
8,True,Compress,4,High,529,537,9.0,2.67,3.0,1.0,4.0,0.0,115.28,3.0,0.98,0.0,"/**
 * Closes this output stream and releases any system resources
 * associated with the stream.
 *
 * @exception  IOException  if an I/O error occurs.
 */
public void close() throws IOException {
    finish();
    if (raf != null) {
        raf.close();
    }
    if (out != null) {
        out.close();
    }
}",-0.5208333333333334,-0.3715415019762846,-0.375,-0.3333333333333333,-0.4,-0.6776416539050536,-0.42857142857142855,,-0.31878706692616415,-3.425708318045597,22.67
9,True,Compress,4,High,124,131,8.0,3.32,2.0,1.0,2.0,1.38,117.27,3.0,0.97,59.38,"/**
 * Closes the underlying OutputStream.
 * @throws IOException on error
 */
public void close() throws IOException {
    if (!closed) {
        finish();
        buffer.close();
        out.close();
        closed = true;
    }
}",-0.5625,-0.028985507246376895,-0.5,-0.3333333333333333,-0.5333333333333333,-0.4663093415007657,-0.42857142857142855,,-0.30608039356877126,-3.1591133375540092,80.08000000000001
10,True,Closure,98,High,354,363,7.0,2.56,2.0,1.0,2.0,1.12,120.3,1.0,0.96,41.11,"/**
 * @return Whether the variable is only assigned a value once for its
 *     lifetime.
 */
boolean isAssignedOnceInLifetime() {
    Reference ref = getOneAndOnlyAssignment();
    if (ref == null) {
        return false;
    }
    return true;
}",-0.6041666666666666,-0.4295125164690382,-0.5,-0.3333333333333333,-0.5333333333333333,-0.506125574272588,-0.5714285714285714,,-0.3099899746101921,-3.787889970113723,57.79
11,True,Lang,26,High,819,823,5.0,1.96,1.0,0.0,0.0,0.0,122.58,3.0,0.75,0.0,"/**
 * <p>Formats a <code>Date</code> object.</p>
 *
 * @param date  the date to format
 * @return the formatted string
 */
public String format(Date date) {
    Calendar c = new GregorianCalendar(mTimeZone);
    c.setTime(date);
    return applyRules(c, new StringBuffer(mMaxLengthEstimate)).toString();
}",-0.6875,-0.7457180500658762,-0.625,-0.6666666666666666,-0.6666666666666666,-0.6776416539050536,-0.42857142857142855,,-0.31878706692616415,-4.8165515328018556,10.96
