,IsBuggy,ProjectName,ProjectVersion,Priority,StartLine,EndLine,SLOC,IC,MCCABE,NBD,MCCLURE,DIFF,MI,TFO,READABILITY,EFFORT,SourceCode,average_sum,FixedCode
0,True,camel,remotes/origin/bugs-dot-jar_CAMEL-7883_d57f402b,Major,118,122,-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.9967132292522604,-0.38461538461538464,1.6666666666666667,-0.2301621211999065,"@Override
public Reader getCharacterStream() {
    InputStream is = getByteStream();
    return camelContext.getTypeConverter().convertTo(Reader.class, is);
}",-5.609745710066712,"@Override
public Reader getCharacterStream() {
    return null;
}"
1,True,jackrabbit-oak,remotes/origin/bugs-dot-jar_OAK-1369_ce0b0955,Major,276,281,-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-1.2423993426458497,-0.15384615384615385,0.16666666666666669,-0.2301621211999065,"@Override
public String toString() {
    StringBuilder buff = new StringBuilder(""contains"").append('(').append(left).append("", "").append(right).append(')');
    return buff.toString();
}",-5.624662592691071,"@Override
public String toString() {
    StringBuilder buff = new StringBuilder(""contains("");
    Expression l = left;
    if (l instanceof Property) {
        Property p = (Property) l;
        if (p.thereWasNoAt) {
            l = new Property(p.selector, p.name + ""/*"", true);
        }
    }
    buff.append(l);
    buff.append("", "").append(right).append(')');
    return buff.toString();
}"
2,True,logging-log4j2,remotes/origin/bugs-dot-jar_LOG4J2-234_2d7d6311,Major,63,68,-0.5714285714285714,-0.8081395348837211,-0.3333333333333333,-1.0,-0.36363636363636365,-0.5732323232323232,-1.33442892358258,-0.38461538461538464,0.0,-0.2301621211999065,"@Override
public Result filter(final Logger logger, final Level level, final Marker marker, final Message msg, final Throwable t) {
    final String text = useRawMessage ? msg.getFormat() : msg.getFormattedMessage();
    return filter(text);
}",-5.598976555912183,"@Override
public Result filter(final Logger logger, final Level level, final Marker marker, final Message msg, final Throwable t) {
    if (msg == null) {
        return onMismatch;
    }
    final String text = useRawMessage ? msg.getFormat() : msg.getFormattedMessage();
    return filter(text);
}"
3,True,wicket,remotes/origin/bugs-dot-jar_WICKET-5441_8ccb1f6d,Major,196,201,-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-1.0862777321281851,-0.46153846153846156,7.25,-0.2301621211999065,"/**
 *  set resource caching to maximum and set cache-visibility to 'public'
 *
 *  @param response
 */
@Override
public void decorateResponse(AbstractResource.ResourceResponse response, IStaticCacheableResource resource) {
    response.setCacheDurationToMaximum();
    response.setCacheScope(WebResponse.CacheScope.PUBLIC);
}",-5.776233289865714,"/**
 *  set resource caching to maximum and set cache-visibility to 'public'
 *
 *  @param response
 */
@Override
public void decorateResponse(AbstractResource.ResourceResponse response, IStaticCacheableResource resource) {
    String requestedVersion = RequestCycle.get().getMetaData(URL_VERSION);
    String calculatedVersion = this.resourceVersion.getVersion(resource);
    if (calculatedVersion != null && calculatedVersion.equals(requestedVersion)) {
        response.setCacheDurationToMaximum();
        response.setCacheScope(WebResponse.CacheScope.PUBLIC);
    }
}"
4,True,jackrabbit-oak,remotes/origin/bugs-dot-jar_OAK-3324_5f863af6,Major,243,247,-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-1.2637633525061636,-0.38461538461538464,0.25,-0.2301621211999065,"@Override
public boolean isGranted(@Nonnull String path, long permissions) {
    Iterator<PermissionEntry> it = getEntryIterator(new EntryPredicate(path, Permissions.respectParentPermissions(permissions)));
    return hasPermissions(it, permissions, path);
}",-5.876795833320615,"@Override
public boolean isGranted(@Nonnull String path, long permissions) {
    EntryPredicate predicate = new EntryPredicate(path, Permissions.respectParentPermissions(permissions));
    return hasPermissions(getEntryIterator(predicate), predicate, permissions, path);
}"
5,True,flink,remotes/origin/bugs-dot-jar_FLINK-1640_8f321c72,Major,249,255,-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-1.0986031224322095,-0.46153846153846156,7.166666666666667,-0.2301621211999065,"/**
 *  Normalizes a path string.
 *
 *  @param path
 *         the path string to normalize
 *  @return the normalized path string
 */
private String normalizePath(String path) {
    // remove double slashes & backslashes
    path = path.replace(""//"", ""/"");
    path = path.replace(""\\"", ""/"");
    return path;
}",-5.788558680169738,"/**
 *  Normalizes a path string.
 *
 *  @param path
 *         the path string to normalize
 *  @return the normalized path string
 */
private String normalizePath(String path) {
    // remove leading and tailing whitespaces
    path = path.trim();
    // remove consecutive slashes & backslashes
    path = path.replace(""\\"", ""/"");
    path = path.replaceAll(""/+"", ""/"");
    // remove tailing separator
    if (!path.equals(SEPARATOR) && path.endsWith(SEPARATOR)) {
        path = path.substring(0, path.length() - SEPARATOR.length());
    }
    return path;
}"
6,True,commons-math,remotes/origin/bugs-dot-jar_MATH-757_76b7413d,Major,584,588,-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-0.7502054231717342,-0.6153846153846154,8.166666666666666,-0.2301621211999065,"/**
 * Clear the array contents, resetting the number of elements to zero.
 */
@Override
public synchronized void clear() {
    numElements = 0;
    startIndex = 0;
}",-5.594007134755417,"/**
 * Clear the array contents, resetting the number of elements to zero.
 */
@Override
public void clear() {
    numElements = 0;
    startIndex = 0;
}"
7,True,accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-4138_eb0f9b41,Major,119,123,-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-1.04026294165982,-0.5384615384615384,1.0833333333333335,-0.2301621211999065,"public static Option startRowOpt() {
    final Option o = new Option(START_ROW_OPT, ""begin-row"", true, ""begin row (inclusive)"");
    o.setArgName(""begin-row"");
    return o;
}",-5.807141576320426,"public static Option startRowOpt() {
    final Option o = new Option(START_ROW_OPT, ""begin-row"", true, ""begin row (exclusive)"");
    o.setArgName(""begin-row"");
    return o;
}"
8,True,jackrabbit-oak,remotes/origin/bugs-dot-jar_OAK-1822_3e83a4c1,Major,133,138,-0.5238095238095238,-0.8488372093023259,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-1.2054231717337718,-0.46153846153846156,6.416666666666667,-0.2301621211999065,"/**
 * Add a new or update an existing map entry.
 * The property is a map of revisions / values.
 *
 * @param property the property
 * @param revision the revision
 * @param value the value
 */
void setMapEntry(@Nonnull String property, @Nonnull Revision revision, String value) {
    Operation op = new Operation();
    op.type = Operation.Type.SET_MAP_ENTRY;
    op.value = value;
    changes.put(new Key(property, checkNotNull(revision)), op);
}",-5.888457356270858,"/**
 * Add a new or update an existing map entry.
 * The property is a map of revisions / values.
 *
 * @param property the property
 * @param revision the revision
 * @param value the value
 */
void setMapEntry(@Nonnull String property, @Nonnull Revision revision, String value) {
    Operation op = new Operation(Operation.Type.SET_MAP_ENTRY, value);
    changes.put(new Key(property, checkNotNull(revision)), op);
}"
9,True,accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-4138_50db442b,Major,119,123,-0.5714285714285714,-0.8081395348837211,-0.5,-1.0,-0.5454545454545454,-0.5732323232323232,-1.04026294165982,-0.5384615384615384,1.0833333333333335,-0.2301621211999065,"public static Option startRowOpt() {
    final Option o = new Option(START_ROW_OPT, ""begin-row"", true, ""begin row (inclusive)"");
    o.setArgName(""begin-row"");
    return o;
}",-5.807141576320426,"public static Option startRowOpt() {
    final Option o = new Option(START_ROW_OPT, ""begin-row"", true, ""begin row (NOT) inclusive"");
    o.setArgName(""begin-row"");
    return o;
}"
