ProjectName,BranchName,Severity
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1044_9396979b,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1044_ea2f9856,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1051_25cf3ccd,Trivial
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1120_474b2577,Blocker
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1183_742960f1,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1183_cfbf5999,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1190_e29dc4f5,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1192_9476b877,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1192_c489d866,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1199_813109d7,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1312_d9ab8449,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1348_6ff92b12,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1348_ef0f6ddc,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1358_4d10c92f,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1358_6c565dfb,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1505_994df698,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1505_b082fc1e,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1514_fb25913c,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1518_dc95cb69,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1518_df4b1985,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-151_b007b22e,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1544_0cf2ff72,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1661_13eb19c2,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1730_872b6db3,Trivial
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1732_941e3cb1,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-178_2f0643a9,Trivial
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-178_efef09b0,Trivial
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1800_3143b9c5,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1800_8ec4cb84,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-189_6dbbdc21,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-189_cd7feb4d,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-193_8ad5a888,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-193_c831e44d,Minor
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1986_2d97b875,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1986_a5e3ed3b,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1986_adee0f12,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-209_397f86f6,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-209_76d727f0,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-217_46f62443,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-217_add180fb,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-218_15476a0d,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-218_3d55560a,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2390_28294266,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2487_f2920c26,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2494_0dc92ca1,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2520_a64151e6,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2544_7ec60f1b,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2659_019edb16,Blocker
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2671_17344890,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2713_6138a80f,Blocker
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2742_1f7dd2d5,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2748_ff8c2383,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2857_9fcca2ed,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2899_31aea2ad,Blocker
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2928_f99b5654,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2952_11d11e0d,Major
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2962_023be574,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2962_2fd7633f,Critical
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2974_5eceb10e,Blocker
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3006_d6472040,Blocker
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-3015_f848178e,Major
