ProjectName,ProjectVersion,IssueTracker,URL,Severity
Chart,1,sourceforge,https://sourceforge.net/p/jfreechart/bugs/983,Medium
Chart,2,sourceforge,https://sourceforge.net/p/jfreechart/bugs/959,Low
Chart,3,,UNKNOWN,
Chart,4,,UNKNOWN,
Chart,5,sourceforge,https://sourceforge.net/p/jfreechart/bugs/862,Low
Chart,6,,UNKNOWN,
Chart,7,,UNKNOWN,
Chart,8,,UNKNOWN,
Chart,9,sourceforge,https://sourceforge.net/p/jfreechart/bugs/818,Medium
Chart,10,,UNKNOWN,
Chart,11,sourceforge,https://sourceforge.net/p/jfreechart/bugs/868,Medium
Chart,12,sourceforge,https://sourceforge.net/p/jfreechart/patches/213,Medium
Chart,13,,UNKNOWN,
Chart,14,,UNKNOWN,
Chart,15,,UNKNOWN,
Chart,16,sourceforge,https://sourceforge.net/p/jfreechart/bugs/834,Medium
Chart,17,sourceforge,https://sourceforge.net/p/jfreechart/bugs/803,Medium
Chart,18,,UNKNOWN,
Chart,19,,UNKNOWN,
Chart,20,,UNKNOWN,
Chart,21,,UNKNOWN,
Chart,22,,UNKNOWN,
Chart,23,,UNKNOWN,
Chart,24,,UNKNOWN,
Chart,25,,UNKNOWN,
Chart,26,,UNKNOWN,
Cli,1,jira,https://issues.apache.org/jira/browse/CLI-13,High
Cli,2,jira,https://issues.apache.org/jira/browse/CLI-51,Critical
Cli,3,jira,https://issues.apache.org/jira/browse/CLI-1,High
Cli,4,jira,https://issues.apache.org/jira/browse/CLI-1,High
Cli,5,jira,https://issues.apache.org/jira/browse/CLI-133,Low
Cli,7,jira,https://issues.apache.org/jira/browse/CLI-121,High
Cli,8,jira,https://issues.apache.org/jira/browse/CLI-151,High
Cli,9,jira,https://issues.apache.org/jira/browse/CLI-149,High
Cli,10,jira,https://issues.apache.org/jira/browse/CLI-156,Low
Cli,11,jira,https://issues.apache.org/jira/browse/CLI-1,High
Cli,12,jira,https://issues.apache.org/jira/browse/CLI-1,High
Cli,13,jira,https://issues.apache.org/jira/browse/CLI-61,High
Cli,14,jira,https://issues.apache.org/jira/browse/CLI-144,High
